Temple,Status,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,State,Postal Code,Country,Phone
Aba Nigeria Temple,Dedicated,5.14764400,7.35671900,5°8'51"N,7°21'24"E,Okpu-Umuoba Road Off Aba-Owerri Road at Union Bank,Aba,Abia State,,Nigeria,(+234) 80-3903-4804
Abidjan Ivory Coast Temple,Under Construction,5.36230700,-3.97686500,5°21'44"N,3°58'36"W,,Abidjan,,,Cote d'Ivoire,
Accra Ghana Temple,Dedicated,5.56749000,-0.19370600,5°34'2"N,-0°11'37"E,57 Independence Avenue North Ridge PMB CT 209 Cantonments,Accra,,,Ghana,(+233) 302-650-123
Adelaide Australia Temple,Dedicated,-34.89247300,138.63500200,34°53'32"S,138°38'6"E,53-59 Lower Portrush Road,Marden,South Australia,5070,Australia,(+61) 8-8363-8000
Alabang Philippines Temple,Under Construction,14.41291300,121.03783800,14°24'46"N,121°2'16"E,Filinvest Avenue and Corporate Avenue Alabang,Muntinlupa,Metro Manila,,Philippines,
Albuquerque New Mexico Temple,Dedicated,35.16768400,-106.52530100,35°10'3"N,106°31'31"W,10301 San Francisco Drive NE,Albuquerque,New Mexico,87122-3437,United States,(+1) 505-822-5110
Anchorage Alaska Temple,Dedicated,61.10162700,-149.84051200,61°6'5"N,149°50'25"W,13161 Brayton Drive,Anchorage,Alaska,99516,United States,(+1) 907-348-7890
Antofagasta Chile Temple,Under Construction,-23.57189100,-70.39452500,23°34'18"S,70°23'40"W,Avenida de Las Palmeras 44,Antofagasta,,,Chile,
Apia Samoa Temple,Dedicated,-13.83806400,-171.78303400,13°50'17"S,171°46'58"W,Vaitele Street,Pesega,Apia,,Samoa,(+685) 64-230
Arequipa Peru Temple,Dedicated,-16.37520300,-71.53847700,16°22'30"S,71°32'18"W,Avenida Cusco 380 Carmen Alto,Arequipa,Arequipa,,Peru,(+51) 54-640-300
Asunción Paraguay Temple,Dedicated,-25.28791600,-57.60286900,25°17'16"S,57°36'10"W,Esquina Brasilia y España,Asunción,,1441,Paraguay,(+595) 21-216-92
Atlanta Georgia Temple,Dedicated,33.93189600,-84.36239400,33°55'54"N,84°21'44"W,6450 Barfield Road NE,Sandy Springs,Georgia,30328-4283,United States,(+1) 770-393-3698
Auckland New Zealand Temple,Under Construction,-36.99322700,174.89019100,36°59'35"S,174°53'24"E,Redoubt Road Manukau,Auckland,,,New Zealand,
Austin Texas Temple,Announced,30.51681449,-97.79687000,30°31'0"N,97°47'48"W,1801 East Park Street,Cedar Park,Texas,,United States,
Bacolod Philippines Temple,Under Construction,10.69664800,122.98945500,10°41'47"N,122°59'22"E,Bacolod Airport Access Road (north of Buri Road),Bacolod,,,Philippines,
